User,Date,Text,Reply,Repost,Like,View
@rei1_f,2026-01-15-17:50:27,", found a retard",1,0,0,267
@rei1_f,2025-12-21-18:34:40,Tetap semangat ,0,0,1,29
@rei1_f,2025-12-01-17:36:51,"Sumatra doesn't need PRAY; it needs FREE. Free from Jakarta, the symbol of domination, as well as Free West Papua, Free Sulawesi, Free Maluku and Free all others, until the power to cut one single tree in your neighborhood is decided on your desk, not in Manggala Wanabakti! x.com/Dandhy_Laksono…",0,1,13,682
@rei1_f,2025-11-23-09:15:00,,0,0,0,40
@rei1_f,2025-11-19-17:04:02,Islamic golden age,0,0,0,22
@rei1_f,2025-11-16-20:53:40,Huh?,0,0,0,2261
@rei1_f,2025-11-09-09:00:13,"Haii, what's his power?",0,0,0,22
@rei1_f,2025-11-05-12:51:38,IDENTIFIED,1,0,1,38
@rei1_f,2025-11-02-18:58:46,Battle of Yarmouk,0,0,0,19
@rei1_f,2025-11-02-15:06:15,Cheating on roblox,0,0,0,10
@rei1_f,2025-11-01-18:50:26,"Close enough, welcome back qarmatians.A leaked WikiLeaks cable from 2007 reveals some of UAE Mohammed bin Zayed’s views on free elections, Islam, Quran schools…. Pakistan…  Thread 1,2,3,4,5,6,7,8,9",1,0,0,308
@rei1_f,2025-11-01-08:50:12,"I used to be pro-Russia until Russia massacred civilians in Bucha. That “one news story” disgusted me so much, I did a 180° turn. I want nothing to do with Russia anymore. I don’t see anything wrong with that. My views can change and that’s normal.  x.com/SevaUT/status/…",0,0,2,312
@rei1_f,2025-10-30-18:37:04,SAS,0,0,0,16
@rei1_f,2025-10-23-16:25:04,"This u gng? 

Have you not realized, the course of actions made by our government were compliant to 'recommendations' you stated a while ago?
Tldr, many of Israeli athletes are ex IDF soldiers. Israel has also been provocative to disrupt peace amongst IOC countries in the region.",0,0,0,38
@rei1_f,2025-10-15-18:02:53, indonesian english,0,0,0,293
@rei1_f,2025-10-09-20:56:25,"An Indonesian girl walks the streets of Jakarta in traditional dress. 

People seem shocked, as if they have forgotten what their culture was before Islam.",0,0,0,41
@rei1_f,2025-09-27-18:45:24,"Dari replies dan QT rupanya masih sangat banyak yang mendukung orang kaya bermobil dapat subsidi dalam bentuk bensin murah. Mana nih tax the rich, hahaha",0,0,2,198
@rei1_f,2025-09-18-15:28:57,why create a scraper when you can unscrape smth?,0,0,0,37
@rei1_f,2025-08-30-16:47:21,BjirGlodok,0,0,0,21
@rei1_f,2025-08-28-23:10:49,Ini ae gw baru nyadar sampe separah ini cok,1,0,1,34
@rei1_f,2025-08-28-22:57:51,"Kacung pemerintah. URGENT:
In Jakarta, Indonesia (28/8/2025) police brutality has led to a civilian killed after being run over by a Brimob vehicle

CCTV in the area has been shut off. Please help amplify this globally because the Indonesia government and police want to make this stay hidden x.com/suprayit_now/s…",0,0,1,27
@rei1_f,2025-08-25-06:39:41,Gray,0,0,0,8
@rei1_f,2025-08-22-20:42:17,Karena life is roblox,0,0,1,41
@rei1_f,2025-08-22-20:40:56,"Ah, kalau flexing gitu dengan statusnya udah secara resmi menikah sih lazim bang terutama kalau lu ngomongnya ke orang yang udah nikah atau tua Sorry gagal paham tadi",0,0,0,34
@rei1_f,2025-08-22-11:39:43,"Lingkup circle di masa SMA gw heterogen banget bang, sekalinya ngumpul pasti ada aja kejadian anak ayam baru keluar kandang. Sharing kenakalannya sebagai bentuk flexing dan gw cuma bisa denger sembari kecewa ke orang² itu",1,0,0,41
@rei1_f,2025-08-17-16:29:42,"Bcz, art imitates life.how would a criminal billionaire become president?? i know it’s comics but this is a little too unrealistic x.com/AxelTalksFilm/…",0,0,0,62
@rei1_f,2025-08-17-04:17:09,Bisa aja nder kalau misal tahun depan udah gaji 20 juta per bulan,0,0,0,36
@rei1_f,2025-08-15-21:52:33,Primebowo Sentinelianto,0,0,1,66
