Text,Index,Date,User,Len
Terima kasih jokowi,"Index([7, 9127], dtype='int64')",['2024-10-28 13:05:56' '2024-09-29 03:31:53'],['@ratnanareng' '@Keluarga_ngibul'],2
Terima kasih jokowi ,"Index([25, 10811], dtype='int64')",['2024-10-27 18:13:52' '2024-09-06 02:30:27'],['@Sidar42782091' '@Keluarga_ngibul'],2
Terima kasih ,"Index([42, 11078], dtype='int64')",['2024-10-26 23:40:02' '2024-09-01 08:47:03'],['@HalteCSW' '@Asmara_007'],2
terima kasih pak jokowi,"Index([63, 10329], dtype='int64')",['2024-10-25 20:24:22' '2024-09-14 21:57:51'],['@wanskyhigh' '@Boyzneboyzone'],2
Terima kasih pa Jokowi,"Index([66, 10438], dtype='int64')",['2024-10-25 19:29:42' '2024-09-13 18:10:15'],['@endihendri123' '@theugly_p4ul'],2
Terima kasih pak Jokowi,"Index([158, 9771], dtype='int64')",['2024-10-25 09:48:42' '2024-09-20 16:19:25'],['@Pr0f1t120n1' '@BagindoIbrahim'],2
terima kasih jokowi,"Index([190, 13239], dtype='int64')",['2024-10-24 09:33:25' '2024-06-25 21:35:45'],['@NGatotkaca' '@hahehehhah'],2
TERIMA KASIH JOKOWI,"Index([191, 9757], dtype='int64')",['2024-10-24 08:33:17' '2024-09-20 18:12:48'],['@DilewatiBatas' '@BroganViol15810'],2
Terima kasih Jokowi,"Index([222, 9794], dtype='int64')",['2024-10-23 20:41:06' '2024-09-20 14:34:46'],['@MAZaelani_kaw' '@your_muck'],2
Terima kasih Pak Jokowi,"Index([224, 9197], dtype='int64')",['2024-10-23 19:55:18' '2024-09-28 11:42:57'],['@SamsulB40686073' '@medan_fakta'],2
terima kasih pak ,"Index([233, 10321], dtype='int64')",['2024-10-23 16:44:59' '2024-09-15 04:28:53'],['@olandtambz23' '@naveedgilang'],2
Terima kasih orang baik,"Index([289, 18810], dtype='int64')",['2024-10-23 10:55:38' '2024-01-02 18:13:26'],['@estu_este' '@AzzahraBan'],2
Terima kasih pak ,"Index([339, 10159], dtype='int64')",['2024-10-22 21:20:50' '2024-09-17 08:37:36'],['@Pa_phie' '@budidiep'],2
Terima kasih Jokowi ,"Index([357, 10742], dtype='int64')",['2024-10-22 18:55:44' '2024-09-07 20:20:40'],['@rap_zona45926' '@soft_liners'],2
Terima kasih Pak  ,"Index([390, 9824], dtype='int64')",['2024-10-22 13:49:21' '2024-09-20 12:03:35'],['@unclearpicts' '@kusumastianto'],2
Terima kasih,"Index([451, 10814], dtype='int64')",['2024-10-22 08:19:01' '2024-09-05 23:22:58'],['@sas_asm' '@RullyMasela'],2
Terima Kasih Bapak Jokowi,"Index([460, 10201], dtype='int64')",['2024-10-22 07:34:13' '2024-09-16 14:03:19'],['@wajibkomen' '@BuanaAndri1'],2
Terima kasih pak jokowi,"Index([496, 7292, 9940], dtype='int64')",['2024-10-21 23:04:45' '2024-10-01 06:02:25' '2024-09-19 02:16:50'],['@khuluq_kh' '@mrniceguy3711' '@Sintya_Rys'],3
Terima kasih pak,"Index([530, 11077], dtype='int64')",['2024-10-21 22:37:08' '2024-09-01 08:47:34'],['@riyaneong' '@YudhiRohadi'],2
Terima kasih bapak ,"Index([570, 16184], dtype='int64')",['2024-10-21 21:53:45' '2024-02-17 14:33:58'],['@istirsnh' '@Horang_Utan'],2
Terima Kasih Pak ,"Index([645, 10837], dtype='int64')",['2024-10-21 04:37:44' '2024-09-05 19:14:31'],['@Mohrez_' '@nanininaninna'],2
Terima kasih pak Jokowi. ,"Index([650, 16115], dtype='int64')",['2024-10-21 04:19:02' '2024-02-19 13:50:28'],['@josan298' '@zejormom'],2
Terima kasih Pak Jokowi ,"Index([664, 9217], dtype='int64')",['2024-10-21 01:51:32' '2024-09-27 23:39:11'],['@iniGueBima' '@Cakra_Dhafi'],2
