User,Date,post_text,quotedPost_text,Reply_count,Repost_count,Like_count,View_count
@ferizandra,2026-01-19-06:19:18,"Indonesia Corruption Watch (ICW) mempertanyakan urgensi seragam SPPG-SPPI Rp423 miliar dalam Program Makan Bergizi Gratis (MBG) yang berjalan sejak 6 Januari 2025. 

Program MBG menjadi prioritas Kabinet Merah Putih untuk memenuhi gizi anak sekolah, balita, serta ibu hamil dan",,0,0,0,4
@BeritaKotaMKS,2026-01-19-06:01:04,"Sidrap Kirim 10 Truk Telur Senilai Rp2,5 M untuk Program MBG Nasionalberitakotamakassar.com/2026/01/19/sid
… …  
SIDRAP, BKM — Bupati Sidrap Syaharuddin Alrif melepas armada logistik 10 truk telur untuk program Makan Bergizi Gratis (MBG) yang akan didistribusikan ke berbagai daerah di Indonesi…",,0,0,0,9
@widi_211,2026-01-19-05:59:10,Gizi macam apa? Makan brracun gratis anda maksud bergizi?,,0,0,0,5
@SuciRamadh62759,2026-01-19-05:25:03,"Gizi? Emang anak cuma makan sekali? Kita itu umumnya makan 3 kali,, terus dikasi makan MBG sehari sekali dibilang bergizi? Itupun yang sekali makan syukur"" kalo memang bergizi 😂",,0,0,0,76
@petriziezie,2026-01-19-04:39:04,"MBG emg cuma jd tai krn bnyk makanan yg ga bnr, yg justru ga bergizi. Lu pny adek yg msh sekolah ga? atau ponakan gt. Cb lu rasain aja sndri makanannya ky apa. Gw liat MBG adek gw aja ga selera, pucet, porsi secuil ky buat bocah lg belajar makan, pas gw cobain ya emg bnr gajelas",,1,0,0,25
@BolaNaga,2026-01-19-03:27:13,"Beginilah kalau punya pemimpin serta pendukungnya yang jahat sama rakyatnya. Sudah puluhan ribu pelajar di Indonesia harus menerima dan harus menahan rasa sakit akibat keracunan Makan Bergizi Gratis ( MBG ) .
Kejadian ini akan terus berulang sampai anggaran prioritas MBG habis .",,1,0,0,33
@Abu_shahib16,2026-01-19-03:13:50,"Para orang tua masih mampu memberi makan bergizi untuk anak-anaknya, duit rakyat ratusan triliun pertahun untuk MBG, lebih berguna dan mulia untuk menggratiskan biaya pendidikan",,0,0,0,15
@DarekaRendy,2026-01-19-03:12:04,"Program Makan Bergizi Gratis (MBG) yang dijalankan dalam skala masif dan waktu singkat kini menjadi rujukan internasional.

Negara yang dikenal dengan standar gizi tinggi seperti Jepang pun datang langsung untuk melihat dan belajar dari implementasi MBG di Indonesia.",,0,0,0,21
@masmoel831,2026-01-19-01:06:41,"Program Makan Bergizi Gratis adalah investasi jangka panjang negara untuk menciptakan generasi sehat, cerdas, dan produktif.",,1,0,0,11
@akuria448927,2026-01-19-00:23:48,Sinergi lintas sektor sukseskan makan bergizi gratis di Papua #westpapua#westpapua  #BangkitPapua#BangkitPapua  #PerubahanNyataTanahPapua#PerubahanNyataTanahPapua  #TransformasiBumiCendrawasih#TransformasiBumiCendrawasih ,,0,0,0,9
@dzikri_rama25,2026-01-19-00:23:33,"Setiap piring makan bergizi gratis, ada harapan untuk masa depan dan rezeki berlimpah buat UMKM serta petani lokal #SetahunMBG#SetahunMBG ",,0,0,0,13
