User,Date,Text,Reply,Repost,Like,View
@diky_rizall,2024-10-01-06:50:12,Kepemimpinan Presiden Jokowi selama 10 tahun mendapat apresiasi dari Wakil Ketua MPR yang mengucapkan terima kasih atas kerja keras dan pengorbanannya. #10TahunJokowiMembangun,0,0,0,24
@dian_anggraini0,2024-10-01-06:31:53,"Terima kasih Pak Jokowi, 10 tahun pembangunan yang membawa harapan baru. #10TahunJokowiMembangun",0,0,0,23
@shandy_liam22,2024-10-01-06:30:27,"Terima kasih banyak Pak Jokowi, kampung kami sekarang sudah maju. #10TahunJokowiMembangun",0,0,0,24
@alminat_janih4,2024-10-01-06:28:34,"Terima kasih Pak Jokowi, kampung kami sekarang dah maju dan berkembang. #10TahunJokowiMembangun",0,0,0,40
@kyomi_nabiba,2024-10-01-06:06:50,Jokowi ucapkan terima kasih atas kepercayaan dalam satu dekade terakhir. #10TahunJokowiMembangun,0,0,0,12
@mrniceguy3711,2024-10-01-06:02:25,Terima kasih pak jokowi,0,0,1,18
@galerimu,2024-10-01-05:48:00,Terima kasih sudah merusak demokrasi. Terima kasih sudah menjadikan dinasti politik. apalagi ya ,0,0,0,17
@dika_afinoza,2024-10-01-05:17:09,"Presiden Jokowi telah memimpin Indonesia dengan penuh dedikasi selama satu dekade, Wakil Ketua MPR menyampaikan terima kasih atas kerja kerasnya. #10TahunJokowiMembangun",0,0,0,18
@andik_firman24,2024-10-01-05:15:07,"Terima kasih kepada Presiden Jokowi atas kerja keras selama 10 tahun terakhir, ucap Wakil Ketua MPR sebagai bentuk apresiasi atas kepemimpinan yang membangun. #10TahunJokowiMembangun",0,0,0,21
@dehani_darkimah,2024-10-01-05:02:58,"Terima kasih, Pak Jokowi, lo udah memperhatikan nasib nelayan dan petani. #10TahunJokowiMembangun",0,0,0,14
@sandya_gilang,2024-10-01-05:02:44,"Terima kasih, Pak Jokowi, lo udah dukung pengembangan olahraga paralayang! #10TahunJokowiMembangun",0,0,0,24
@jati_prasetya1,2024-10-01-05:01:44,"Terima kasih, Pak Jokowi! Kepemimpinanmu bikin Indonesia makin disegani. #10TahunJokowiMembangun",0,0,0,22
@somad_abrahm,2024-10-01-04:50:55,Terima kasih Jokowi! Warga Bekasi siap melangkah bersama dalam pembangunan ke depan. #10TahunJokowiMembangun,0,0,0,19
@teguh_salim44,2024-10-01-04:47:14,"Jokowi, terima kasih atas 10 tahun yang luar biasa! Warga Bekasi siap bersinergi lebih. #10TahunJokowiMembangun",0,0,0,16
@miati_mahdu,2024-10-01-04:45:16,"Dengan segala prestasi dan upaya yang telah dilakukan, Wakil Ketua MPR menyampaikan rasa terima kasih kepada Presiden Jokowi atas satu dekade kepemimpinannya. #10TahunJokowiMembangun",0,0,0,16
@carla_tina22,2024-10-01-04:37:43,Terima kasih Jokowi atas pengabdianmu selama 10 tahun. #10TahunJokowiMembangun,0,0,0,16
@lalatul_arani,2024-10-01-04:37:35,Terima kasih Jokowi atas komitmen terhadap pembangunan berkelanjutan. #10TahunJokowiMembangun,0,0,0,13
@arsyila_hanadii,2024-10-01-04:27:40,"Terima kasih telah menjaga kestabilan ekonomi Indonesia selama 10 tahun terakhir, Pak Jokowi! #10TahunJokowiMembangun",0,0,0,19
@ana_siapaya,2024-10-01-04:26:13,Terima kasih pak. Hutang dan urusanmu dengan rakyat akan kami tagih nanti di akhirat,0,0,0,147
@azmi_ifata29,2024-10-01-04:25:09,"Pak Jokowi telah membawa banyak perubahan positif bagi Indonesia, terima kasih. #10TahunJokowiMembangun",0,0,0,11
@nazwa_sibah,2024-10-01-04:24:27,"Terima kasih, Pak Jokowi! Kepemimpinanmu bikin kita makin optimis! #10TahunJokowiMembangun",0,0,0,12
@sari_tar11,2024-10-01-04:17:40,"Terima kasih, Pak Jokowi, telah membawa Indonesia ke arah yang lebih baik dan lebih maju. #10TahunJokowiMembangun",0,0,0,15
@SaifuddinSay,2024-10-01-03:57:57,"Terima kasih.
Kamu memang AGAK LAEN.",0,1,16,1097
@panji_hidyt,2024-10-01-03:53:12,Wakil Ketua MPR menyampaikan rasa terima kasih yang mendalam kepada Presiden Jokowi atas satu dekade kepemimpinan yang penuh tantangan dan prestasi. #10TahunJokowiMembangun,0,0,0,18
@vabry_ardianto,2024-10-01-03:52:54,"Terima kasih Jokowi, infrastruktur yang Anda bangun mendukung pemerataan ekonomi. #10TahunJokowiMembangun",0,0,0,14
@murni_wati3,2024-10-01-03:47:17,Terima kasih Jokowi! Warga Pulau Jawa siap mendukung setiap kebijakan pro-rakyat yang diambil. #10TahunJokowiMembangun,0,0,0,16
@ramdani_putra02,2024-10-01-03:41:59,Terima kasih Jokowi atas dedikasi tanpa batas. #10TahunJokowiMembangun,0,0,0,15
@handa_dahmi,2024-10-01-03:37:46,"Jokowi: ""Terima kasih atas amanah yang diberikan."" #10TahunJokowiMembangun",0,0,0,13
@vabry_ardianto,2024-10-01-03:37:28,"Jokowi, terima kasih untuk 10 tahun yang penuh prestasi! Warga Bogor siap bersinergi. #10TahunJokowiMembangun",0,0,0,26
@handy_steven24,2024-10-01-03:36:05,"Terima kasih banyak Pak Jokowi, sekarang kampung kami makin berkembang dengan pesat. #10TahunJokowiMembangun",0,0,0,12
@devina_amelia1,2024-10-01-03:32:29,Pak Jokowi adalah pemimpin yang luar biasa. Terima kasih atas jasamu. #10TahunJokowiMembangun,0,0,0,17
@dahlia_gaby6,2024-10-01-03:30:31,"Jokowi, terima kasih telah menjadikan konektivitas sebagai jembatan menuju kemajuan. #10TahunJokowiMembangun",0,0,0,12
@rianti_kurii,2024-10-01-03:26:14,"Indonesia semakin maju dan tangguh berkat kepemimpinan Presiden Jokowi, terima kasih. #10TahunJokowiMembangun",0,0,0,20
@handa_dahmi,2024-10-01-03:25:51,Terima kasih Jokowi! Warga Pulau Jawa merasakan kemajuan selama 10 tahun kepemimpinanmu. #10TahunJokowiMembangun,0,0,0,143
@putri_cahya999,2024-10-01-03:24:07,"Terima kasih, Pak Jokowi, sudah bikin banyak perubahan positif buat negeri ini. #10TahunJokowiMembangun",0,0,0,13
@vabry_ardianto,2024-10-01-03:20:54,Terima kasih Jokowi atas pembangunan infrastruktur yang menyentuh pelosok negeri. #10TahunJokowiMembangun,0,0,0,11
@fajat_purno25,2024-10-01-03:20:10,Wakil Ketua MPR mengucapkan terima kasih kepada Presiden Jokowi atas satu dekade kepemimpinan yang telah membawa banyak kemajuan bagi Indonesia. #10TahunJokowiMembangun,0,0,0,23
@toby_saputra56,2024-10-01-03:18:48,"Terima kasih, Pak Jokowi, karena telah memperkuat hubungan diplomatik Indonesia di dunia internasional. #10TahunJokowiMembangun",0,0,0,18
@putri_mhrani5,2024-10-01-03:18:11,"Jokowi, pemimpin yang selalu hadir untuk rakyat. Terima kasih atas pengabdianmu. #10TahunJokowiMembangun",0,0,0,18
@lutfi_hsn,2024-10-01-03:13:48,"Terima kasih, Pak Jokowi, sudah memajukan ekonomi kreatif di Indonesia. #10TahunJokowiMembangun",0,0,0,13
@irwan_danangg,2024-10-01-03:11:04,"Sepuluh tahun, Indonesia semakin maju dengan infrastruktur modern. Terima kasih Jokowi! #10TahunJokowiMembangun",0,0,0,16
@irfan_rena21,2024-10-01-03:03:19,"Berkat kepemimpinan Presiden Jokowi, Indonesia telah mencapai banyak prestasi, terima kasih. #10TahunJokowiMembangun",0,0,0,21
