User,Len
@HarcumTj,77
@DintarSyahdu,56
@waknadiir,44
@questionbreak_,43
@KompasTV,41
@Adv_ERAT,39
@Barna_byo,38
@pln_123,38
@thanzhunk,37
@Monikanihil,35
@DKIJakarta,34
@caknur1414,30
@backproperties,30
@tempodotco,30
@Keluarga_ngibul,30
@bwreborn2023,30
@pamjaya_dki,29
@g4b0ng0ku73,29
@Beritasatu,28
@rikywolf444,28
@Neonboxyellow,28
@PesonaNegeriku2,27
@kompascom,27
@detikcom,27
@alexisannramos,26
@BPJSKesehatanRI,26
@SotoAyam1970,24
@VIVAcoid,24
@BANGSAygSUJUD,23
@liputan6dotcom,23
@officialinews_,22
@BattoAjax,21
@DivHumas_Polri,21
@KerjaHasil_id,21
@DasarKita,20
@ErikaHamka,20
@SangGuru2471,20
@Sgm_mks,20
@Batigoltaeng,19
@jakasem39381602,18
@kumparan,18
@Yattie2023,18
@Boc0raluss,18
@Merdekasatu1,18
@BoyMantouw,17
@skullcmdr,17
@NyiMasRuminah,16
@NkriRindu,16
@DambaanA,16
@IndiHomeCare,16
@osooso68,15
@DJ_ATALIACHAN,15
@riharis162,15
@temanduit,15
@myXLCare,15
@10969sarkun,15
@inang_hasiholan,15
@IDNTimes,15
@AndiWen2,15
@kusjantonoWK,15
@posaktualcom,15
@merdekadotcom,15
@Fr4nst,15
@jokowi,14
@RcyberProj0,14
@_AnnisaKarisma,14
@smartfrencare,14
@ParamitaNurain1,14
@hariqosatria,14
@pokamiami,14
@setojayakarta,14
@m1zon3,13
@Boediantar4,13
@sigitwid,13
@OneLove4Human,13
@mestyati,13
@tvOneNews,13
@JJhonpres,13
@suseno212,12
@jesco_ronsumbre,12
@BeritakanID_com,12
@bhinneka_news,12
@allegory1318,12
@jordi_danny,12
@ibnux,12
@Boyzneboyzone,12
@karanganyarkab,12
@KemenPU,12
@aesculapiusw,12
@Alfrans16,12
@masagungt,12
@_Rajawalinews,11
@tham878,11
@OposisiCerdas,11
@SatuNusantara3,11
@Caseramila,11
@Metro_TV,11
@psi_id,11
@PesonaHatii,11
@samaraiX,11
@ganjarutkri,11
@bogii1996,10
