User,Date,post_text,quotedPost_text,Reply_count,Repost_count,Like_count,View_count
@rei1_f,2026-01-15-17:50:27,"@RafliRadithya@RafliRadithya , found a retard",,1,0,0,284
@rei1_f,2025-12-21-18:34:40,Tetap semangat 🔥,,0,0,1,45
@rei1_f,2025-11-19-17:04:02,Islamic golden age,,0,0,0,38
@rei1_f,2025-11-16-20:53:40,Huh?,,0,0,0,2277
@rei1_f,2025-11-09-09:00:13,"Haii, what's his power?",,0,0,0,39
@rei1_f,2025-11-05-12:51:38,IDENTIFIED,,1,0,1,54
@rei1_f,2025-11-02-18:58:46,Battle of Yarmouk,,0,0,0,35
@rei1_f,2025-11-02-15:06:15,Cheating on roblox,,0,0,0,25
@rei1_f,2025-11-01-18:50:26,"Close enough, welcome back qarmatians.","A leaked WikiLeaks cable from 2007 reveals some of UAE Mohammed bin Zayed’s views on free elections, Islam, Quran schools…. Pakistan…  Thread 1,2,3,4,5,6,7,8,9",1,0,0,323
@rei1_f,2025-10-31-20:03:54,t.co/InNR6qqP9e ,,0,0,0,115
@rei1_f,2025-10-30-18:37:04,SAS,,0,0,0,30
@rei1_f,2025-10-23-16:25:04,"This u gng? 

Have you not realized, the course of actions made by our government were compliant to 'recommendations' you stated a while ago?
Tldr, many of Israeli athletes are ex IDF soldiers. Israel has also been provocative to disrupt peace amongst IOC countries in the region.",,0,0,0,51
@rei1_f,2025-10-15-18:02:53,@ezdubs_bot@ezdubs_bot  indonesian english,,0,0,0,306
@rei1_f,2025-09-18-15:28:57,why create a scraper when you can unscrape smth?,,0,0,0,45
@rei1_f,2025-08-30-16:47:21,Bjir,Glodok,0,0,0,28
@rei1_f,2025-08-28-23:10:49,Ini ae gw baru nyadar sampe separah ini cok,,1,0,1,41
@rei1_f,2025-08-28-22:57:51,Kacung pemerintah.," URGENT:
In Jakarta, Indonesia (28/8/2025) police brutality has led to a civilian killed after being run over by a Brimob vehicle

CCTV in the area has been shut off. Please help amplify this globally because the Indonesia government and police want to make this stay hidden x.com/suprayit_now/s…",0,0,1,34
@rei1_f,2025-08-25-06:39:41,Gray,,0,0,0,15
@rei1_f,2025-08-22-20:42:17,Karena life is roblox,,0,0,1,48
@rei1_f,2025-08-22-20:40:56,"Ah, kalau flexing gitu dengan statusnya udah secara resmi menikah sih lazim bang terutama kalau lu ngomongnya ke orang yang udah nikah atau tua 😭Sorry gagal paham tadi",,0,0,0,41
@rei1_f,2025-08-22-11:39:43,"Lingkup circle di masa SMA gw heterogen banget bang, sekalinya ngumpul pasti ada aja kejadian anak ayam baru keluar kandang. Sharing kenakalannya sebagai bentuk flexing dan gw cuma bisa denger sembari kecewa ke orang² itu",,1,0,0,47
@rei1_f,2025-08-17-16:29:42,"Bcz, art imitates life.",how would a criminal billionaire become president?? i know it’s comics but this is a little too unrealistic x.com/AxelTalksFilm/…,0,0,0,68
@rei1_f,2025-08-17-04:17:09,Bisa aja nder kalau misal tahun depan udah gaji 20 juta per bulan,,0,0,0,44
@rei1_f,2025-08-15-21:52:33,Primebowo Sentinelianto,,0,0,1,73
@rei1_f,2025-08-15-03:08:22,Billions must larp,,0,0,1,64
@rei1_f,2025-08-14-21:00:49,"BLACK SOULS defo.

GeForce RTX PC Week",,0,0,0,29
@rei1_f,2025-08-14-04:18:48,"My Femboy Roommate: Special Weekend
GeForce PC Week",,0,0,0,124
@rei1_f,2025-08-14-03:58:01,GeForce PC Week,,0,0,0,20
@rei1_f,2025-08-13-17:30:46,"Siapa tuh manusianya nder? 
Congrats yaa btw 🎉",,2,0,0,45
@rei1_f,2025-08-13-05:39:38,"Makin nolep lu ntar fli ama skil sosial lu berkurang.

Penggunaan jangka pendek memang bisa hilangi rasa kesendirian lu, tapi jangka panjang bisa hancuri persepsi lu dalam menangani atau menjalani relasi sama orang lain",,0,0,0,55
@rei1_f,2025-08-12-23:23:51,"Tapi memang enak njir curhat ke chatbot yang udah lu lakuin fine tuning dan kasih instruksi secara personal.

Sayangnya, perilaku gitu gak baik untuk kesehatan dalam jangka panjang (gw jarang dapet afeksi selain dari keluarga).",,1,0,0,64
